"","wl","temperature","value","hexvis"
"495",694,"1500",0.154840505660253,"#4A1700"
"496",695,"1500",0.156818926858661,"#4A1700"
"497",696,"1500",0.158815190823126,"#4A1700"
"498",697,"1500",0.160829371369943,"#4A1700"
"499",698,"1500",0.162861541833492,"#4A1700"
"500",699,"1500",0.164911775060855,"#4A1700"
"501",700,"1500",0.1669801434065,"#4A1700"
"502",701,"1500",0.16906671872701,"#4A1700"
"503",702,"1500",0.17117157237587,"#4A1700"
"504",703,"1500",0.173294775198315,"#4A1700"
"505",704,"1500",0.17543639752623,"#4A1700"
"506",705,"1500",0.177596509173101,"#4A1700"
"507",706,"1500",0.179775179429036,"#4A1700"
"508",707,"1500",0.181972477055831,"#4A1700"
"509",708,"1500",0.1841884702821,"#4A1700"
"510",709,"1500",0.18642322679846,"#4A1700"
"511",710,"1500",0.188676813752777,"#4A1700"
"512",711,"1500",0.190949297745466,"#4A1700"
"513",712,"1500",0.193240744824857,"#4A1700"
"514",713,"1500",0.195551220482609,"#4A1700"
"515",714,"1500",0.197880789649193,"#4A1700"
"516",715,"1500",0.200229516689434,"#4A1700"
"517",716,"1500",0.2025974653981,"#4A1700"
"518",717,"1500",0.204984698995574,"#4A1700"
"519",718,"1500",0.20739128012356,"#4A1700"
"520",719,"1500",0.20981727084087,"#4A1700"
"521",720,"1500",0.212262732619259,"#4A1700"
